"","Spec","x","Gender","Race","cohort","b","se","ll","ul","id"
"1","init","init","init","init",0,0,0,0,0,"init_init_init_init"
"2","RaisedWith2Adults","RaisedWith2Adults","All","All",1920,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"3","RaisedWith2Adults","RaisedWith2Adults","All","All",1921,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"4","RaisedWith2Adults","RaisedWith2Adults","All","All",1922,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"5","RaisedWith2Adults","RaisedWith2Adults","All","All",1923,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"6","RaisedWith2Adults","RaisedWith2Adults","All","All",1924,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"7","RaisedWith2Adults","RaisedWith2Adults","All","All",1925,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"8","RaisedWith2Adults","RaisedWith2Adults","All","All",1926,NA,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"9","RaisedWith2Adults","RaisedWith2Adults","All","All",1927,-0.12594778512282,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"10","RaisedWith2Adults","RaisedWith2Adults","All","All",1928,-0.133824211549722,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"11","RaisedWith2Adults","RaisedWith2Adults","All","All",1929,-0.126516994037635,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"12","RaisedWith2Adults","RaisedWith2Adults","All","All",1930,-0.128423821571101,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"13","RaisedWith2Adults","RaisedWith2Adults","All","All",1931,-0.139269130988258,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"14","RaisedWith2Adults","RaisedWith2Adults","All","All",1932,-0.1422115914922,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"15","RaisedWith2Adults","RaisedWith2Adults","All","All",1933,-0.14282176925095,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"16","RaisedWith2Adults","RaisedWith2Adults","All","All",1934,-0.140656375314255,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"17","RaisedWith2Adults","RaisedWith2Adults","All","All",1935,-0.14362743041468,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"18","RaisedWith2Adults","RaisedWith2Adults","All","All",1936,-0.14821696022189,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"19","RaisedWith2Adults","RaisedWith2Adults","All","All",1937,-0.151276991422461,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"20","RaisedWith2Adults","RaisedWith2Adults","All","All",1938,-0.151385980802824,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"21","RaisedWith2Adults","RaisedWith2Adults","All","All",1939,-0.156749524217014,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"22","RaisedWith2Adults","RaisedWith2Adults","All","All",1940,-0.165801518243298,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"23","RaisedWith2Adults","RaisedWith2Adults","All","All",1941,-0.169337319238057,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"24","RaisedWith2Adults","RaisedWith2Adults","All","All",1942,-0.172601585142358,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"25","RaisedWith2Adults","RaisedWith2Adults","All","All",1943,-0.175543540422932,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"26","RaisedWith2Adults","RaisedWith2Adults","All","All",1944,-0.179204917310168,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"27","RaisedWith2Adults","RaisedWith2Adults","All","All",1945,-0.187523159556862,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"28","RaisedWith2Adults","RaisedWith2Adults","All","All",1946,-0.194247802832656,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"29","RaisedWith2Adults","RaisedWith2Adults","All","All",1947,-0.197510063696368,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"30","RaisedWith2Adults","RaisedWith2Adults","All","All",1948,-0.197871741763997,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"31","RaisedWith2Adults","RaisedWith2Adults","All","All",1949,-0.199959186811208,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"32","RaisedWith2Adults","RaisedWith2Adults","All","All",1950,-0.198078137059968,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"33","RaisedWith2Adults","RaisedWith2Adults","All","All",1951,-0.200656480182429,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"34","RaisedWith2Adults","RaisedWith2Adults","All","All",1952,-0.198465658362848,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"35","RaisedWith2Adults","RaisedWith2Adults","All","All",1953,-0.195065719456403,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"36","RaisedWith2Adults","RaisedWith2Adults","All","All",1954,-0.19385890995133,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"37","RaisedWith2Adults","RaisedWith2Adults","All","All",1955,-0.1948704382698,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"38","RaisedWith2Adults","RaisedWith2Adults","All","All",1956,-0.192147188326545,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"39","RaisedWith2Adults","RaisedWith2Adults","All","All",1957,-0.190413463960554,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"40","RaisedWith2Adults","RaisedWith2Adults","All","All",1958,-0.189771304355969,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"41","RaisedWith2Adults","RaisedWith2Adults","All","All",1959,-0.190282965018875,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
"42","RaisedWith2Adults","RaisedWith2Adults","All","All",1960,-0.193049972092386,0,0,0,"RaisedWith2Adults_RaisedWith2Adults_All_All"
